name	url	subscribers	views
Factor tv	http://www.youtube.com/c/Factortv/about	218000	243962939
a1Plus	https://www.youtube.com/c/a1plus/about	175000	206749243
azatutyun radio	https://www.youtube.com/c/azatutyunradio/about	678000	857743365
perfect tv	https://www.youtube.com/channel/UC8kOchMgfcXZTDtgQ67LM9Q/about	unknown subscriber count	204847176
ArmNkr News	https://www.youtube.com/channel/UCOcuOF0M-rZ5QzKTvr1J8IQ/about	120000	105504824
Vardan Ghukasyan Վարդան Ղուկասյան	https://www.youtube.com/channel/UChXhis-jyFXzMw4o9hML3vA/about	unknown subscriber count	61666353
24TV	https://www.youtube.com/c/24TVArmenia/about	158000	161829125
365daily am	https://www.youtube.com/channel/UCGOYnPqyWiPwPdlvUlfuNcQ/about	153000	99888598
NEWS AM	https://www.youtube.com/c/NewsamChannel/about	286000	370193576
STP ARM NEWS	https://www.youtube.com/c/STPmusicRAP/about	142000	92101061
ArmLur official	https://www.youtube.com/channel/UChjW08B983y0T2NvktcIjfg/about	3550	4432459
1in.am	https://www.youtube.com/c/1inam/about	157000	151487500
HAYELI AM	https://www.youtube.com/c/Hayeliam_Hayeli_Akumb/about	74100	75770215
8rd. am	https://www.youtube.com/channel/UCzQMSe3jpEVDTJa9jy9eEZA/about	122000	40032236
YELAKET / Yelaket News Agency /	https://www.youtube.com/c/YelaketNewsAgency/about	110000	95081204
Armenian Public TV	https://www.youtube.com/c/ArmenianPublicTV/about	476000	349239691
5 TV Channel	https://www.youtube.com/c/AraratTv/about	107000	78569764
SHD ARM TV	https://www.youtube.com/c/SHDARMTV/about	unknown subscriber count	59507159
amenor am	https://www.youtube.com/channel/UCfqS6YahbpwtWQRCJNOyVEw/about	67400	32268285
AREG TV	https://www.youtube.com/c/aregtv/about	unknown subscriber count	22234369
8rd news	https://www.youtube.com/channel/UC0uK3jBxj6ioFn5-XsleQKA/about	136000	13662611
Asekose am	https://www.youtube.com/user/ASEKOSEful/about	198000	182019648
ArmNews	https://www.youtube.com/user/ArmnewsTV/about	125000	43003854
ARTN TV	https://www.youtube.com/channel/UCGto6lM2ggZi4Ut4GHo31XA/about	34000	21160370
ArmLur TV	https://www.youtube.com/c/ArmLurTV/about	133000	130952597
ԼՈՒՐԵՐ Նորություններ Հայաստանից	https://www.youtube.com/user/LURERcom/about	26200	14677556
ArmeniaNow	https://www.youtube.com/c/ArmeniaNow/about	82100	49108608
SecretTube	https://www.youtube.com/channel/UCTRRvh0-lR9rPaC0nzNYFMA/about	91600	27919818
Բաց TV	https://www.youtube.com/channel/UCf2o81mWr-bZsLbq2-kOYTQ/about	95500	38173337
CIVILNET	https://www.youtube.com/c/CivilNetTV/about	168000	136259370
iravabannet	https://www.youtube.com/user/iravabannet/about	25700	18071911
AD TV	https://www.youtube.com/channel/UC8k_9xHrn82EV_oSFXBE6Cw/about	31700	16039148
Live News	https://www.youtube.com/channel/UCCllZTHrcly_pkPvb_V1ovA/about	31600	19959375
Novosti-Armenia	https://www.youtube.com/c/NovostiArmenia/about	43700	19953479
Kentron Channel	https://www.youtube.com/c/KentronChannel/about	124000	93347021
Tv9 am	https://www.youtube.com/c/Tv9am/about	76900	11905256
ԱԶԳԱՅԻՆ - ԺՈՂՈՎՐԴԱՎԱՐԱԿԱՆ ԲԵՎԵՌ	https://www.youtube.com/user/preparliament/about	42300	20373566
SHANT NEWS	https://www.youtube.com/c/SHANTNEWS/about	73900	34065253
The Yerevan Times	https://www.youtube.com/c/TheGamesWorld/about	33200	10125932
Yerevanyan Blog TV	https://www.youtube.com/c/YerevanyanBlog/about	38000	8507090
Sparta 1	https://www.youtube.com/channel/UCGxciBpj8fWpZIP805J1qVA/about	30400	17178238
Kristine Halajyan Քրիստինե Հալաջյան	https://www.youtube.com/channel/UCOKWS2GcPCEQ9VPx3Nkobcw/about	52300	11710672
Tert. am	https://www.youtube.com/user/tertamarmenia/about	49800	44145659
Suren Sargsyan	https://www.youtube.com/channel/UC-IEdDubp1Io--BquY-183g/about	39200	12142668
The Great Armenia	https://www.youtube.com/c/TheGreatArmenia/about	120000	68531478
PARATV	https://www.youtube.com/c/PARADIPLOMACYTV/about	51900	29082373
POLICE RA Vostikanutyun	https://www.youtube.com/c/Vostikanutyun/about	71300	95464960
Armenian National Network	https://www.youtube.com/c/ANNmedia/about	41800	15358985
NVO1	https://www.youtube.com/channel/UCadQz-sg0lid5bxjqPc6Olg/about	80500	1520004
Armenian Second TV Channel / h2	https://www.youtube.com/c/armh2/about	18200	7175938
Ամերիկայի Ձայն VOA Armenian	https://www.youtube.com/c/VOAArmenian/about	30900	21776865
PastinfoTV	https://www.youtube.com/user/PastinfoTV/about	12300	5780514
ArmeniaTV News	https://www.youtube.com/channel/UCTeGnM60U9qoLH7ZZDhAsSg/about	69100	39655717
Vardan Hakobyan	https://www.youtube.com/c/VardanHakobyan/about	10700	1887955
Խոսենք Փաստերով TV	https://www.youtube.com/channel/UCZuKdeF9yfOjZ0J7AbBUOAw/about	5960	1744216
HetqTV	https://www.youtube.com/user/HetqTV/about	29400	19865542
Artsakh Public TV	https://www.youtube.com/channel/UC0bE8sdgd54oJBscXJfupCw/about	35500	23200354
Yerevan Today Live	https://www.youtube.com/c/YerevanTodayNews/about	27500	21182430
Hraparak TV	https://www.youtube.com/c/Hraparakdaily/about	35400	30904352
Աննա Աբրահամյան Իմ Հայաստան created DON DREAM	https://www.youtube.com/channel/UCuuqSVCWfMlwlwlfXSLIfKg/about	unknown subscriber count	2680609
Yerkir Media - News	https://www.youtube.com/user/YerkirmediaTV/about	37100	32837117
Yerkir Media Հաղորդումներ	https://www.youtube.com/channel/UCLqMTOyTNRVzavjJwZlFSvQ/about	7420	1476848
MenqHayenq Production	https://www.youtube.com/channel/UCUfcIB5azeiUD2egV7p7FEQ/about	64700	14222295
ԼՐԱՏՎԱԿԱՆ ՌԱԴԻՈ FM106.5	https://www.youtube.com/channel/UCaJCNkhSa84QcuOSoM2WfcA/about	40600	22797105
Repat Riarch	https://www.youtube.com/c/RepatRiarch_official/about	39600	4807650
New Channel tv	https://www.youtube.com/channel/UCDOG_qfxSvI-Dv1tkGpo8Dw/about	72000	35695597
HorizonArmenianTV	https://www.youtube.com/user/HorizonArmenianTV/about	24400	8947385
ARM GOOD INFO	https://www.youtube.com/channel/UCenBDno0RFwOg23Kr00kJVg/about	83300	18982704
Politik. am	https://www.youtube.com/c/Politikam2021/about	21100	7012913
armtimes.com	https://www.youtube.com/c/ArmtimesNewspaper/about	33800	34035176
