name	url	subscribers	views
Factor tv	http://www.youtube.com/c/Factortv/about	217000	241654788
a1Plus	https://www.youtube.com/c/a1plus/about	175000	206284772
azatutyun radio	https://www.youtube.com/c/azatutyunradio/about	676000	853763554
perfect tv	https://www.youtube.com/channel/UC8kOchMgfcXZTDtgQ67LM9Q/about	unknown subscriber count	200376381
ArmNkr News	https://www.youtube.com/channel/UCOcuOF0M-rZ5QzKTvr1J8IQ/about	119000	103193851
Vardan Ghukasyan Վարդան Ղուկասյան	https://www.youtube.com/channel/UChXhis-jyFXzMw4o9hML3vA/about	unknown subscriber count	60326412
24TV	https://www.youtube.com/c/24TVArmenia/about	157000	161547462
365daily am	https://www.youtube.com/channel/UCGOYnPqyWiPwPdlvUlfuNcQ/about	153000	99146330
NEWS AM	https://www.youtube.com/c/NewsamChannel/about	285000	368883543
STP ARM NEWS	https://www.youtube.com/c/STPmusicRAP/about	141000	91355950
ArmLur official	https://www.youtube.com/channel/UChjW08B983y0T2NvktcIjfg/about	3510	4381484
1in.am	https://www.youtube.com/c/1inam/about	157000	151438193
HAYELI AM	https://www.youtube.com/c/Hayeliam_Hayeli_Akumb/about	73200	74033391
8rd. am	https://www.youtube.com/channel/UCzQMSe3jpEVDTJa9jy9eEZA/about	121000	39323820
YELAKET / Yelaket News Agency /	https://www.youtube.com/c/YelaketNewsAgency/about	109000	94371614
Armenian Public TV	https://www.youtube.com/c/ArmenianPublicTV/about	475000	347854416
5 TV Channel	https://www.youtube.com/c/AraratTv/about	106000	77677502
SHD ARM TV	https://www.youtube.com/c/SHDARMTV/about	unknown subscriber count	59461770
amenor am	https://www.youtube.com/channel/UCfqS6YahbpwtWQRCJNOyVEw/about	66800	31560035
AREG TV	https://www.youtube.com/c/aregtv/about	unknown subscriber count	21903175
8rd news	https://www.youtube.com/channel/UC0uK3jBxj6ioFn5-XsleQKA/about	134000	12240078
Asekose am	https://www.youtube.com/user/ASEKOSEful/about	197000	181680338
ArmNews	https://www.youtube.com/user/ArmnewsTV/about	125000	42775900
ARTN TV	https://www.youtube.com/channel/UCGto6lM2ggZi4Ut4GHo31XA/about	33100	20168991
ArmLur TV	https://www.youtube.com/c/ArmLurTV/about	133000	130586201
ԼՈՒՐԵՐ Նորություններ Հայաստանից	https://www.youtube.com/user/LURERcom/about	26200	14661160
ArmeniaNow	https://www.youtube.com/c/ArmeniaNow/about	81600	48803692
SecretTube	https://www.youtube.com/channel/UCTRRvh0-lR9rPaC0nzNYFMA/about	91100	27425874
Բաց TV	https://www.youtube.com/channel/UCf2o81mWr-bZsLbq2-kOYTQ/about	95400	38022775
CIVILNET	https://www.youtube.com/c/CivilNetTV/about	167000	135857281
iravabannet	https://www.youtube.com/user/iravabannet/about	25700	18052982
AD TV	https://www.youtube.com/channel/UC8k_9xHrn82EV_oSFXBE6Cw/about	31700	15993125
Live News	https://www.youtube.com/channel/UCCllZTHrcly_pkPvb_V1ovA/about	31300	19736679
Novosti-Armenia	https://www.youtube.com/c/NovostiArmenia/about	43700	19912314
Kentron Channel	https://www.youtube.com/c/KentronChannel/about	122000	92468352
Tv9 am	https://www.youtube.com/c/Tv9am/about	76700	11787877
ԱԶԳԱՅԻՆ - ԺՈՂՈՎՐԴԱՎԱՐԱԿԱՆ ԲԵՎԵՌ	https://www.youtube.com/user/preparliament/about	41600	19863252
SHANT NEWS	https://www.youtube.com/c/SHANTNEWS/about	73100	33703465
The Yerevan Times	https://www.youtube.com/c/TheGamesWorld/about	33100	10026725
Yerevanyan Blog TV	https://www.youtube.com/c/YerevanyanBlog/about	37100	7897727
Sparta 1	https://www.youtube.com/channel/UCGxciBpj8fWpZIP805J1qVA/about	29300	16383932
Kristine Halajyan Քրիստինե Հալաջյան	https://www.youtube.com/channel/UCOKWS2GcPCEQ9VPx3Nkobcw/about	51900	11512235
Tert. am	https://www.youtube.com/user/tertamarmenia/about	49600	44046938
Suren Sargsyan	https://www.youtube.com/channel/UC-IEdDubp1Io--BquY-183g/about	38800	11963848
The Great Armenia	https://www.youtube.com/c/TheGreatArmenia/about	117000	66536872
PARATV	https://www.youtube.com/c/PARADIPLOMACYTV/about	51800	29045457
POLICE RA Vostikanutyun	https://www.youtube.com/c/Vostikanutyun/about	71100	95343647
Armenian National Network	https://www.youtube.com/c/ANNmedia/about	41800	15356952
NVO1	https://www.youtube.com/channel/UCadQz-sg0lid5bxjqPc6Olg/about	80300	1345936
Armenian Second TV Channel / h2	https://www.youtube.com/c/armh2/about	18000	7071478
Ամերիկայի Ձայն VOA Armenian	https://www.youtube.com/c/VOAArmenian/about	30900	21739468
PastinfoTV	https://www.youtube.com/user/PastinfoTV/about	12300	5724239
ArmeniaTV News	https://www.youtube.com/channel/UCTeGnM60U9qoLH7ZZDhAsSg/about	68200	39316633
Vardan Hakobyan	https://www.youtube.com/c/VardanHakobyan/about	10700	1878375
Խոսենք Փաստերով TV	https://www.youtube.com/channel/UCZuKdeF9yfOjZ0J7AbBUOAw/about	5960	1742969
HetqTV	https://www.youtube.com/user/HetqTV/about	29300	19788307
Artsakh Public TV	https://www.youtube.com/channel/UC0bE8sdgd54oJBscXJfupCw/about	35400	23179284
Yerevan Today Live	https://www.youtube.com/c/YerevanTodayNews/about	27500	21158764
Hraparak TV	https://www.youtube.com/c/Hraparakdaily/about	35400	30810833
Աննա Աբրահամյան Իմ Հայաստան created DON DREAM	https://www.youtube.com/channel/UCuuqSVCWfMlwlwlfXSLIfKg/about	unknown subscriber count	2628994
Yerkir Media - News	https://www.youtube.com/user/YerkirmediaTV/about	37100	32807449
Yerkir Media Հաղորդումներ	https://www.youtube.com/channel/UCLqMTOyTNRVzavjJwZlFSvQ/about	7310	1439301
MenqHayenq Production	https://www.youtube.com/channel/UCUfcIB5azeiUD2egV7p7FEQ/about	64600	14181082
ԼՐԱՏՎԱԿԱՆ ՌԱԴԻՈ FM106.5	https://www.youtube.com/channel/UCaJCNkhSa84QcuOSoM2WfcA/about	40300	22705078
Repat Riarch	https://www.youtube.com/c/RepatRiarch_official/about	39500	4794855
New Channel tv	https://www.youtube.com/channel/UCDOG_qfxSvI-Dv1tkGpo8Dw/about	70900	34010850
