Factor tv	http://www.youtube.com/c/Factortv/about	210000	228099234
a1Plus	https://www.youtube.com/c/a1plus/about	172000	202814066
armtimes	https://www.youtube.com/c/ArmtimesNewspaper/about	33500	33756637
azatutyun radio	https://www.youtube.com/c/azatutyunradio/about	671000	838745460
perfect tv	https://www.youtube.com/channel/UC8kOchMgfcXZTDtgQ67LM9Q/about	unknown subscriber count	186169107
ArmNkr News	https://www.youtube.com/channel/UCOcuOF0M-rZ5QzKTvr1J8IQ/about	114000	93903654
Vardan Ghukasyan Վարդան Ղուկասյան	https://www.youtube.com/channel/UChXhis-jyFXzMw4o9hML3vA/about	unknown subscriber count	50243982
24TV	https://www.youtube.com/c/24TVArmenia/about	155000	155869615
365daily am	https://www.youtube.com/channel/UCGOYnPqyWiPwPdlvUlfuNcQ/about	150000	93263517
NEWS AM	https://www.youtube.com/c/NewsamChannel/about	284000	362331073
STP ARM NEWS	https://www.youtube.com/c/STPmusicRAP/about	140000	89106204
ArmLur official	https://www.youtube.com/channel/UChjW08B983y0T2NvktcIjfg/about	3420	4252943
1in.am	https://www.youtube.com/c/1inam/about	157000	151211708
HAYELI AM	https://www.youtube.com/c/Hayeliam_Hayeli_Akumb/about	68300	65419916
8rd. am	https://www.youtube.com/channel/UCzQMSe3jpEVDTJa9jy9eEZA/about	119000	37208497
YELAKET / Yelaket News Agency /	https://www.youtube.com/c/YelaketNewsAgency/about	108000	92275422
Armenian Public TV	https://www.youtube.com/c/ArmenianPublicTV/about	463000	340847039
5 TV Channel	https://www.youtube.com/c/AraratTv/about	103000	73464630
SHD ARM TV	https://www.youtube.com/c/SHDARMTV/about	unknown subscriber count	58734441
amenor am	https://www.youtube.com/channel/UCfqS6YahbpwtWQRCJNOyVEw/about	59700	25873996
AREG TV	https://www.youtube.com/c/aregtv/about	unknown subscriber count	20568623
8rd news	https://www.youtube.com/channel/UC0uK3jBxj6ioFn5-XsleQKA/about	131000	7729249
Asekose am	https://www.youtube.com/user/ASEKOSEful/about	196000	179082224
ArmNews	https://www.youtube.com/user/ArmnewsTV/about	121000	39270504
ARTN TV	https://www.youtube.com/channel/UCGto6lM2ggZi4Ut4GHo31XA/about	29700	16567928
ArmLur TV	https://www.youtube.com/c/ArmLurTV/about	132000	128434562
ԼՈՒՐԵՐ Նորություններ Հայաստանից	https://www.youtube.com/user/LURERcom/about	26200	14546237
ArmeniaNow	https://www.youtube.com/c/ArmeniaNow/about	80600	47768102
SecretTube	https://www.youtube.com/channel/UCTRRvh0-lR9rPaC0nzNYFMA/about	87400	23770786
Բաց TV	https://www.youtube.com/channel/UCf2o81mWr-bZsLbq2-kOYTQ/about	94400	37244708
CIVILNET	https://www.youtube.com/c/CivilNetTV/about	163000	133131923
iravabannet	https://www.youtube.com/user/iravabannet/about	25400	17845883
AD TV	https://www.youtube.com/channel/UC8k_9xHrn82EV_oSFXBE6Cw/about	31400	15549114
Live News	https://www.youtube.com/channel/UCCllZTHrcly_pkPvb_V1ovA/about	30600	18912115
Novosti-Armenia	https://www.youtube.com/c/NovostiArmenia/about	43800	20270683
Kentron Channel	https://www.youtube.com/c/KentronChannel/about	120000	91258660
Tv9 am	https://www.youtube.com/c/Tv9am/about	76000	18454086
ԱԶԳԱՅԻՆ - ԺՈՂՈՎՐԴԱՎԱՐԱԿԱՆ ԲԵՎԵՌ	https://www.youtube.com/user/preparliament/about	40000	18145111
SHANT NEWS	https://www.youtube.com/c/SHANTNEWS/about	71300	32573850
The Yerevan Times	https://www.youtube.com/c/TheGamesWorld/about	32300	9890133
