name	url	subscribers	views
Factor tv	http://www.youtube.com/c/Factortv/about	211000	229999088
a1Plus	https://www.youtube.com/c/a1plus/about	173000	203142252
azatutyun radio	https://www.youtube.com/c/azatutyunradio/about	672000	839808646
perfect tv	https://www.youtube.com/channel/UC8kOchMgfcXZTDtgQ67LM9Q/about	unknown subscriber count	187210038
ArmNkr News	https://www.youtube.com/channel/UCOcuOF0M-rZ5QzKTvr1J8IQ/about	114000	94827525
Vardan Ghukasyan Վարդան Ղուկասյան	https://www.youtube.com/channel/UChXhis-jyFXzMw4o9hML3vA/about	unknown subscriber count	51511229
24TV	https://www.youtube.com/c/24TVArmenia/about	155000	156191669
365daily am	https://www.youtube.com/channel/UCGOYnPqyWiPwPdlvUlfuNcQ/about	150000	93945655
NEWS AM	https://www.youtube.com/c/NewsamChannel/about	284000	363158316
STP ARM NEWS	https://www.youtube.com/c/STPmusicRAP/about	140000	89284969
ArmLur official	https://www.youtube.com/channel/UChjW08B983y0T2NvktcIjfg/about	3440	4278749
1in.am	https://www.youtube.com/c/1inam/about	157000	151245053
HAYELI AM	https://www.youtube.com/c/Hayeliam_Hayeli_Akumb/about	69100	66615043
8rd. am	https://www.youtube.com/channel/UCzQMSe3jpEVDTJa9jy9eEZA/about	119000	37359848
YELAKET / Yelaket News Agency /	https://www.youtube.com/c/YelaketNewsAgency/about	108000	92338226
Armenian Public TV	https://www.youtube.com/c/ArmenianPublicTV/about	464000	338511681
5 TV Channel	https://www.youtube.com/c/AraratTv/about	103000	74253547
SHD ARM TV	https://www.youtube.com/c/SHDARMTV/about	unknown subscriber count	58785302
amenor am	https://www.youtube.com/channel/UCfqS6YahbpwtWQRCJNOyVEw/about	60800	26700406
AREG TV	https://www.youtube.com/c/aregtv/about	unknown subscriber count	20690949
8rd news	https://www.youtube.com/channel/UC0uK3jBxj6ioFn5-XsleQKA/about	132000	7976612
Asekose am	https://www.youtube.com/user/ASEKOSEful/about	196000	179390461
ArmNews	https://www.youtube.com/user/ArmnewsTV/about	121000	39591843
ARTN TV	https://www.youtube.com/channel/UCGto6lM2ggZi4Ut4GHo31XA/about	30000	16825816
ArmLur TV	https://www.youtube.com/c/ArmLurTV/about	132000	128665665
ԼՈՒՐԵՐ Նորություններ Հայաստանից	https://www.youtube.com/user/LURERcom/about	26200	14566691
ArmeniaNow	https://www.youtube.com/c/ArmeniaNow/about	80600	47844815
SecretTube	https://www.youtube.com/channel/UCTRRvh0-lR9rPaC0nzNYFMA/about	87600	24022296
Բաց TV	https://www.youtube.com/channel/UCf2o81mWr-bZsLbq2-kOYTQ/about	94500	37400528
CIVILNET	https://www.youtube.com/c/CivilNetTV/about	163000	133283906
iravabannet	https://www.youtube.com/user/iravabannet/about	25400	17877282
AD TV	https://www.youtube.com/channel/UC8k_9xHrn82EV_oSFXBE6Cw/about	31400	15614059
Live News	https://www.youtube.com/channel/UCCllZTHrcly_pkPvb_V1ovA/about	30600	18974972
Novosti-Armenia	https://www.youtube.com/c/NovostiArmenia/about	43800	20284468
Kentron Channel	https://www.youtube.com/c/KentronChannel/about	120000	91328156
Tv9 am	https://www.youtube.com/c/Tv9am/about	76100	11402142
ԱԶԳԱՅԻՆ - ԺՈՂՈՎՐԴԱՎԱՐԱԿԱՆ ԲԵՎԵՌ	https://www.youtube.com/user/preparliament/about	40300	18325762
SHANT NEWS	https://www.youtube.com/c/SHANTNEWS/about	71400	32648762
