name	url	subscribers	views
Factor tv	http://www.youtube.com/c/Factortv/about	219000	246060228
a1Plus	https://www.youtube.com/c/a1plus/about	176000	207995418
azatutyun radio	https://www.youtube.com/c/azatutyunradio/about	682000	867189585
perfect tv	https://www.youtube.com/channel/UC8kOchMgfcXZTDtgQ67LM9Q/about	unknown subscriber count	212747622
ArmNkr News	https://www.youtube.com/channel/UCOcuOF0M-rZ5QzKTvr1J8IQ/about	124000	110108198
Vardan Ghukasyan Վարդան Ղուկասյան	https://www.youtube.com/channel/UChXhis-jyFXzMw4o9hML3vA/about	unknown subscriber count	63781447
24TV	https://www.youtube.com/c/24TVArmenia/about	158000	162794040
365daily am	https://www.youtube.com/channel/UCGOYnPqyWiPwPdlvUlfuNcQ/about	154000	101453788
NEWS AM	https://www.youtube.com/c/NewsamChannel/about	286000	373004275
STP ARM NEWS	https://www.youtube.com/c/STPmusicRAP/about	144000	93448562
ArmLur official	https://www.youtube.com/channel/UChjW08B983y0T2NvktcIjfg/about	3610	4562750
1in.am	https://www.youtube.com/c/1inam/about	157000	151602841
HAYELI AM	https://www.youtube.com/c/Hayeliam_Hayeli_Akumb/about	76900	79765474
8rd. am	https://www.youtube.com/channel/UCzQMSe3jpEVDTJa9jy9eEZA/about	124000	42241468
YELAKET / Yelaket News Agency /	https://www.youtube.com/c/YelaketNewsAgency/about	111000	96286053
Armenian Public TV	https://www.youtube.com/c/ArmenianPublicTV/about	479000	352448607
5 TV Channel	https://www.youtube.com/c/AraratTv/about	109000	81206826
SHD ARM TV	https://www.youtube.com/c/SHDARMTV/about	unknown subscriber count	59597619
amenor am	https://www.youtube.com/channel/UCfqS6YahbpwtWQRCJNOyVEw/about	70200	34600654
AREG TV	https://www.youtube.com/c/aregtv/about	unknown subscriber count	23064165
8rd news	https://www.youtube.com/channel/UC0uK3jBxj6ioFn5-XsleQKA/about	138000	15453170
Asekose am	https://www.youtube.com/user/ASEKOSEful/about	198000	182722589
ArmNews	https://www.youtube.com/user/ArmnewsTV/about	125000	43220822
ARTN TV	https://www.youtube.com/channel/UCGto6lM2ggZi4Ut4GHo31XA/about	35700	23099028
ArmLur TV	https://www.youtube.com/c/ArmLurTV/about	133000	131762761
ԼՈՒՐԵՐ Նորություններ Հայաստանից	https://www.youtube.com/user/LURERcom/about	26600	14974599
ArmeniaNow	https://www.youtube.com/c/ArmeniaNow/about	82400	49494047
SecretTube	https://www.youtube.com/channel/UCTRRvh0-lR9rPaC0nzNYFMA/about	92100	28742258
